"","PlayerID","ID","GameID","PlateAppID","HomeAway","RunnerName","Hole","Action","StartBase","EndBase","BasesAdded","SB","SBA","OutsAdded","Fielder1","Fielder2","RunsAdded","PO","POA","WP","PB","AOE"
"6801","Tr_Ezell0_ARKS_04",233017054,"TENN_ARKS_0427201901","TENN_ARKS_0427201901_PA02HOME02","home","Ezell",1,"out",1,0,-1,0,0,1,"3b","2b",0,0,0,0,0,0
"6881","Ca_Martin_ARKS_15",233017083,"TENN_ARKS_0427201901","TENN_ARKS_0427201901_PA14HOME08","home","Martin",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"6882","Tr_Ezell0_ARKS_04",233017084,"TENN_ARKS_0427201901","TENN_ARKS_0427201901_PA14HOME08","home","Ezell",1,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5486","Ke_Calila_FLOR_06",233015483,"TENN_FLOR_0510201901","TENN_FLOR_0510201901_PA02HOME07","home","Calilao",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5487","Wi_Dalton_FLOR_16",233015484,"TENN_FLOR_0510201901","TENN_FLOR_0510201901_PA02HOME07","home","Dalton",5,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5501","Al_Soular_TENN_01",233015498,"TENN_FLOR_0510201901","TENN_FLOR_0510201901_PA07AWAY06","away","Soularie",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5502","An_Lipciu_TENN_13",233015499,"TENN_FLOR_0510201901","TENN_FLOR_0510201901_PA07AWAY06","away","Lipcius",3,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5557","Ne_Maldon_FLOR_27",233015554,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA14HOME05","home","Maldonado",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5558","Au_Langwo_FLOR_44",233015555,"TENN_FLOR_0511201901","TENN_FLOR_0511201901_PA14HOME05","home","Langworthy",2,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5170","Ri_Martin_TENN_12",233015781,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY07","away","Martinez",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"5171","Al_Soular_TENN_01",233015782,"TENN_VAND_0331201901","TENN_VAND_0331201901_PA03AWAY07","away","Soularie",4,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5823","Br_Shewma_TXAM_08",233015815,"TXAM_ABAM_0510201901","TXAM_ABAM_0510201901_PA03AWAY04","away","Shewmake",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5824","Ty_Condel_TXAM_34",233015816,"TXAM_ABAM_0510201901","TXAM_ABAM_0510201901_PA03AWAY04","away","Condel",9,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5887","Dr_Willia_ABAM_55",233015879,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA14HOME06","home","Williamson",5,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"5888","Mo_Mccull_ABAM_08",233015880,"TXAM_ABAM_0512201901","TXAM_ABAM_0512201901_PA14HOME06","home","Mccullough",3,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"5280","Ca_Blake0_TXAM_30",233015999,"TXAM_LSTU_0406201901","TXAM_LSTU_0406201901_PA01AWAY02","away","Blake",2,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"5281","Br_Blaum0_TXAM_15",233016000,"TXAM_LSTU_0406201901","TXAM_LSTU_0406201901_PA01AWAY02","away","Blaum",1,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5632","Mi_Hoehne _TXAM_44",233016074,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY04","away","Hoehner",6,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
"5633","Ca_Blake0_TXAM_30",233016075,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA07AWAY04","away","Blake",5,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5648","Co_Johnso_OMSS_13",233016090,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA16HOME06","home","Johnson",5,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5649","Th_Dillar_OMSS_06",233016091,"TXAM_OMSS_0425201901","TXAM_OMSS_0425201901_PA16HOME06","home","Dillard",4,"advanced",1,3,2,0,0,0,NA,NA,0,0,0,0,0,0
"5696","Th_Dillar_OMSS_06",233016138,"TXAM_OMSS_0426201901","TXAM_OMSS_0426201901_PA14HOME12","home","Dillard",4,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,0
"5697","Ty_Keenan_OMSS_10",233016139,"TXAM_OMSS_0426201901","TXAM_OMSS_0426201901_PA14HOME12","home","Keenan",3,"scored",1,4,3,0,0,0,NA,NA,1,0,0,0,0,0
"6229","Au_Martin_VAND_16",233016243,"VAND_ABAM_0419201901","VAND_ABAM_0419201901_PA11AWAY06","away","Martin",1,"advanced",1,2,1,0,0,0,NA,NA,0,0,0,0,0,1
